date,description,article_length,page_url
-3300000|-2600000,"Stone tools - found in present-day Kenya, they are so old that only a pre-human species could have invented them. The otherwise earliest known stone tools (Oldowan) were found in Ethiopia developed perhaps by Australopithecus garhi or Homo habilis[further explanation needed]",8815,https://en.wikipedia.org/wiki/Stone_tool
-2300000,"Earliest likely control of fire and cooking, by Homo habilis",14587,https://en.wikipedia.org/wiki/Control_of_fire_by_early_humans
-1760000,Acheulean stone tools in Kenya by Homo erectus,11509,https://en.wikipedia.org/wiki/Acheulean
-1750000|-150000,Varying estimates for the origin of language,38393,https://en.wikipedia.org/wiki/Origin_of_language
-1500000,Bone tools in Africa,4336,https://en.wikipedia.org/wiki/Bone_tool
-900000|-40000,Boats,5693,https://en.wikipedia.org/wiki/Boat
-500000,Hafting in South Africa,3886,https://en.wikipedia.org/wiki/Hafting
-450000|-500000,Woodworking construction in Zambia,9468,https://en.wikipedia.org/wiki/Woodworking
-400000,Pigments in Zambia,7725,https://en.wikipedia.org/wiki/Pigment
-400000|-300000,Spears in Germany likely by Homo heidelbergensis,10676,https://en.wikipedia.org/wiki/Spear
-320000,"The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya",13948,https://en.wikipedia.org/wiki/Trade
-279000,Early stone-tipped projectile weapons in Ethiopia,8060,https://en.wikipedia.org/wiki/Projectile_weapons
-200000,"Glue in Central Italy by Neanderthals. More complicated compound adhesives developed by Homo sapiens have been found from c. 70 kya Sibudu, South Africa and have been regarded as a sign of cognitive advancement.",7880,https://en.wikipedia.org/wiki/Glue
-200000,Beds in South Africa.,8712,https://en.wikipedia.org/wiki/Beds
-170000|-83000,Clothing (among anatomically modern humans in Africa). Some other evidence suggests that humans may have begun wearing clothing as far back as 100,000 to 500,000 years ago.,22288,https://en.wikipedia.org/wiki/History_of_clothing_and_textiles
-135000|-100000,Beads in Israel and Algeria,5202,https://en.wikipedia.org/wiki/Bead
-100000,Compound paints made in South Africa,13217,https://en.wikipedia.org/wiki/Paints
-100000,Funerals (in the form of burial) in Israel,16821,https://en.wikipedia.org/wiki/Burial
-90000,Harpoons in the Democratic Republic of the Congo.,7255,https://en.wikipedia.org/wiki/Harpoons
-70000|-60000,"Oldest arrows (and evidence of bow-and-arrow technology), and oldest needle, at Sibudu, South Africa",8397,https://en.wikipedia.org/wiki/Arrow
-61000|-62000,Cave painting in Spain by Neanderthal,15591,https://en.wikipedia.org/wiki/Cave_painting
-49000|-30000,"Ground stone tools - fragments of an axe in Australia date to 49-45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic.",4218,https://en.wikipedia.org/wiki/Ground_stone
-47000,"The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre.",9582,https://en.wikipedia.org/wiki/Ochre
-45000|-9000,"Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan Man. The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States.",20769,https://en.wikipedia.org/wiki/Shoes
-44000|-42000,Tally sticks (see Lebombo bone) in Eswatini,4960,https://en.wikipedia.org/wiki/Tally_sticks
-42000,Flute in Germany,10322,https://en.wikipedia.org/wiki/Flute
-37000,Mortar and pestle in Southwest Asia,7491,https://en.wikipedia.org/wiki/Mortar_and_pestle
-36000,"Weaving - Indirect evidence from Moravia and Georgia. The earliest actual piece of woven cloth was found in Çatalhöyük, Turkey.",19721,https://en.wikipedia.org/wiki/Weaving
-33000|-10000,Star chart in France and Spain,3689,https://en.wikipedia.org/wiki/Star_chart
-28000,Rope,10477,https://en.wikipedia.org/wiki/Rope
-26000,Ceramics in Europe,8136,https://en.wikipedia.org/wiki/Ceramics
-23000,Domestication of the dog in Siberia.,29156,https://en.wikipedia.org/wiki/Domestication_of_the_dog
-22000,Fishing hook in Okinawa Island modern day Japan.,6441,https://en.wikipedia.org/wiki/Fishing_hook
-16000,Pottery in China,18921,https://en.wikipedia.org/wiki/Pottery
-14500,Bread in Jordan,14752,https://en.wikipedia.org/wiki/Bread
-10500|-9500,Agriculture in the Fertile Crescent,34504,https://en.wikipedia.org/wiki/Agriculture
-10500|-9500,"Domestication of sheep in Southwest Asia (followed shortly by pigs, goats and cattle)",15049,https://en.wikipedia.org/wiki/Domestication
-9000|-6000,Domestication of rice in China,20380,https://en.wikipedia.org/wiki/Rice
-9000,Oldest known surviving building - Göbekli Tepe, in Turkey,18518,https://en.wikipedia.org/wiki/List_of_oldest_known_surviving_buildings
-9000,"Mudbricks, and clay mortar in Jericho.",4772,https://en.wikipedia.org/wiki/Mudbricks
-8400,Oldest known water well in Cyprus.,12144,https://en.wikipedia.org/wiki/Well
-8000|-7500,"Proto-city - large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey.",4280,https://en.wikipedia.org/wiki/Proto-city
-7000,Alcohol fermentation - specifically mead, in China,4789,https://en.wikipedia.org/wiki/Ethanol_fermentation#Alcoholic_beverages
-7000,Sled dog and Dog sled, in Siberia.,13482,https://en.wikipedia.org/wiki/Sled_dog
-7000,Tanned leather in Mehrgarh, Pakistan.,6794,https://en.wikipedia.org/wiki/Tanning_(leather)
-6500,Evidence of lead smelting in Çatalhöyük, Turkey,5062,https://en.wikipedia.org/wiki/Lead_smelting
-6000,Kiln in Mesopotamia (Iraq),5471,https://en.wikipedia.org/wiki/Kiln
-6000 - -3200,"Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan.",3702,https://en.wikipedia.org/wiki/Proto-writing
-5500,Sailing - pottery depictions of sail boats, in Mesopotamia, and later ancient Egypt,22166,https://en.wikipedia.org/wiki/Sailing
-5000,Copper smelting in Serbia,7717,https://en.wikipedia.org/wiki/Smelting#Copper_and_bronze
-5000,Seawall in Tel Hreiz.,7229,https://en.wikipedia.org/wiki/Seawall
-5000,Lacquer in China,6973,https://en.wikipedia.org/wiki/Lacquer
-5000,Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet.,23773,https://en.wikipedia.org/wiki/Cotton
-5000 - -4500,Rowing oars in China,4172,https://en.wikipedia.org/wiki/Oar
-4500 - -3500,Lost-wax casting in Israel or the Indus Valley,11848,https://en.wikipedia.org/wiki/Lost-wax_casting
-4400,Fired bricks in China.,14890,https://en.wikipedia.org/wiki/Brick#Fired_brick
-4000,Paved roads, in and around the Mesopotamian city of Ur, Iraq.,18639,https://en.wikipedia.org/wiki/Ur
-4000,Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.[nb 2],10712,https://en.wikipedia.org/wiki/Plumbing
-4000 - -3500,Wheel: potter's wheels in Mesopotamia and wheeled vehicles in Mesopotamia (Sumerian civilization), the Northern Caucasus (Maykop culture) and Central Europe (Cucuteni-Trypillia culture).,11687,https://en.wikipedia.org/wiki/Wheel
-3630,Silk garments (sericulture) in China,4208,https://en.wikipedia.org/wiki/Sericulture
-3500,Probable first domestication of the horse in the Eurasian Steppes.,13638,https://en.wikipedia.org/wiki/Domestication_of_the_horse
-3500,Wine as general anesthesia in Sumer.,13619,https://en.wikipedia.org/wiki/General_anesthesia
-3500,Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier.,10877,https://en.wikipedia.org/wiki/Seal_(emblem)
-3500,Ploughing, on a site in Bubeneč, Czech Republic. Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India).,14187,https://en.wikipedia.org/wiki/Ploughing
-3400 - -3100,Tattoos in southern Europe,19456,https://en.wikipedia.org/wiki/Tattoo
-4000,Writing - in Sumer and Egypt.,17181,https://en.wikipedia.org/wiki/Writing
-3300,City in Uruk, Sumer, Mesopotamia (modern-day Iraq).,40448,https://en.wikipedia.org/wiki/City
-3200,Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains.,2851,https://en.wikipedia.org/wiki/Latrine
-3000,Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet. Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC. Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan).,9590,https://en.wikipedia.org/wiki/Dice
-3000,Tin extraction in Central Asia,18082,https://en.wikipedia.org/wiki/Tin
-3000 - -2560,Papyrus in Egypt,6341,https://en.wikipedia.org/wiki/Papyrus
-3000,Reservoir in Girnar, Indus Valley (modern-day India).,12175,https://en.wikipedia.org/wiki/Reservoir
-3000,Receipt in Ancient Mesopotamia (Iraq),3187,https://en.wikipedia.org/wiki/Receipt
-3000 - -2500,Rhinoplasty in Egypt.,22679,https://en.wikipedia.org/wiki/Rhinoplasty
-2650,The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). [nb 3],4190,https://en.wikipedia.org/wiki/Ruler
-2600,Planned city in Indus Valley (modern-day: India, Pakistan).,29531,https://en.wikipedia.org/wiki/Planned_city
-2600,Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan).,2603,https://en.wikipedia.org/wiki/Sanitation_of_the_Indus_Valley_Civilisation
-2600,Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan).,1428,"https://en.wikipedia.org/wiki/Great_Bath,_Mohenjo-daro"
-2600,Levee in Indus Valley.,6656,https://en.wikipedia.org/wiki/Levee
-2600,Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed.,9792,https://en.wikipedia.org/wiki/Weighing_scale
-2556,Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu. [nb 4],2585,https://en.wikipedia.org/wiki/Dock_(maritime)
-2500,Puppetry in the Indus Valley.,14479,https://en.wikipedia.org/wiki/Puppetry
-2400,Fork in Bronze Age Qijia culture in China,3211,https://en.wikipedia.org/wiki/Fork
-2400,Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes.,20867,https://en.wikipedia.org/wiki/History_of_water_supply_and_sanitation#Ancient_Egypt
-2400,Touchstone in the Indus Valley site of Banawali (modern-day India).,853,https://en.wikipedia.org/wiki/Touchstone_(assaying_tool)
-2300,Dictionary in Mesopotamia.,8733,https://en.wikipedia.org/wiki/Dictionary
-2200,Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool.,4625,https://en.wikipedia.org/wiki/Protractor
-2000,Water clock by at least the old Babylonian period (c. 2000 - c. 1600 BC), but possibly earlier from Mohenjo-Daro in the Indus Valley.,9854,https://en.wikipedia.org/wiki/Water_clock
-2000,Chariot in Russia and Kazakhstan,14490,https://en.wikipedia.org/wiki/Chariot
-2000,"Fountain in Lagash, Sumer",16288,https://en.wikipedia.org/wiki/Fountain
-2000,"Scissors, in Mesopotamia.",12572,https://en.wikipedia.org/wiki/Scissors
-1850,Proto-alphabet (Proto-Sinaitic script) in Egypt.,18332,https://en.wikipedia.org/wiki/Proto-Sinaitic_script
-1600,Surgical treatise appeared in Egypt.,4732,https://en.wikipedia.org/wiki/Edwin_Smith_Papyrus
-1500,Sundial in Ancient Egypt or Babylonia (modern-day Iraq).,26805,https://en.wikipedia.org/wiki/Sundial
-1500,Glass manufacture in either Mesopotamia or Ancient Egypt,18971,https://en.wikipedia.org/wiki/Glass
-1500,Seed drill in Babylonia,2779,https://en.wikipedia.org/wiki/Seed_drill
-1400,"Rubber, Mesoamerican ballgame.",2793,https://en.wikipedia.org/wiki/Mesoamerican_rubber_balls
-1400 - -1200,"Concrete in Tiryns (Mycenaean Greece). Waterproof concrete was later developed by the Assyrians in 688 BC, and the Romans developed concretes that could set underwater. The Romans later used concrete extensively for construction from 300 BC to 476 AD.",24093,https://en.wikipedia.org/wiki/Concrete
-1300,Lathe in Ancient Egypt,9467,https://en.wikipedia.org/wiki/Lathe
-1300,Iron smelting in the Hittite Empire of the Middle East.,7717,https://en.wikipedia.org/wiki/Iron_smelting
