title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
The Adventures of Ferdinand Count Fathom,Tobias Smollett,1753,28,1753,novel,England,20,1234,"https://en.wikipedia.org/wiki/The_Adventures_of_Ferdinand,_Count_Fathom"
The Adventures of Peregrine Pickle,Tobias Smollett,1758,28,1751|1758 (revised reissue),Picaresque novel,Great Britain,62,1512,https://en.wikipedia.org/wiki/The_Adventures_of_Peregrine_Pickle
The Adventures of Roderick Random,Tobias Smollett,1748,28,1748,novel,Great Britain,69,1727,https://en.wikipedia.org/wiki/The_Adventures_of_Roderick_Random
Almoran and Hamet,John Hawkesworth,1761,28,1761,Oriental drama,,5,569,https://en.wikipedia.org/wiki/Almoran_and_Hamet
The Castle Of Otranto,Horace Walpole,1764,28,1764,"Gothic; ,; horror novel",England,171,5490,https://en.wikipedia.org/wiki/The_Castle_of_Otranto
The Castle of Wolfenbach,Eliza Parsons,1793,28,1793,Gothic fiction,United Kingdom,22,6470,https://en.wikipedia.org/wiki/The_Castle_of_Wolfenbach
"Clarissa, or, The History of a Young Lady",Samuel Richardson,1748,28,1748,Epistolary novel,Britain,174,4245,https://en.wikipedia.org/wiki/Clarissa
The Consolidator,Daniel Defoe,1705,28,1705,Novel,England,33,1537,https://en.wikipedia.org/wiki/The_Consolidator
Desmond,Charlotte Smith,1792,28,1792,Epistolary novel,Great Britain,19,7228,https://en.wikipedia.org/wiki/Desmond_(novel)
Evelina: Or the History of a Young Lady's Entrance into the World,Fanny Burney,1778,28,1778,Novel,United Kingdom,74,2933,https://en.wikipedia.org/wiki/Evelina
The Expedition of Humphry Clinker,Tobias Smollett,1771,87,1771 (in 3 volumes),"Novel; ,; Picaresque; ,; Epistolary",United Kingdom,73,2223,https://en.wikipedia.org/wiki/The_Expedition_of_Humphry_Clinker
The Farther Adventures of Robinson Crusoe,Daniel Defoe,1719,28,1719,Novel,England,76,5567,https://en.wikipedia.org/wiki/The_Farther_Adventures_of_Robinson_Crusoe
Gulliver's Travels,Jonathan Swift,1726,301,28 October 1726| (297 years ago)| (|1726-10-28|),"Satire; ,; Science Fiction",England,1156,12513,https://en.wikipedia.org/wiki/Gulliver%27s_Travels
Tom Jones,Henry Fielding,1749,59,28 February 1749,Novel,England,353,5626,"https://en.wikipedia.org/wiki/The_History_of_Tom_Jones,_a_Foundling"
Joseph Andrews,Henry Fielding,1742,28,1742,,Britain,126,4799,https://en.wikipedia.org/wiki/Joseph_Andrews
A Journal of the Plague Year,Daniel Defoe,1722,28,1722,Historical novel,Great Britain,102,3259,https://en.wikipedia.org/wiki/A_Journal_of_the_Plague_Year
"The Life and The Death of the Late Mr. Jonathan Wild, the Great.",Henry Fielding,1743,28,1743,Satire,England,43,1503,"https://en.wikipedia.org/wiki/The_Life_and_Death_of_Jonathan_Wild,_the_Great"
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,1759,1,"December 1759 (vol. 1, 2) – January 1767 (vol 9)",Novel,Great Britain,422,7948,"https://en.wikipedia.org/wiki/The_Life_and_Opinions_of_Tristram_Shandy,_Gentleman"
The Midnight Bell,Francis Lathom,1798,28,1798,Gothic fiction,United Kingdom,30,4237,https://en.wikipedia.org/wiki/The_Midnight_Bell
The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,1722,28,1722,"Novel; ,; picaresque",Kingdom of Great Britain,227,5201,https://en.wikipedia.org/wiki/Moll_Flanders
The Mysterious Warning: A German Tale,Eliza Parsons,1796,28,1796,Gothic fiction,United Kingdom,32,827,https://en.wikipedia.org/wiki/The_Mysterious_Warning:_A_German_Tale
The Natural Daughter,Mary Robinson,,1,"London, England",Fiction,England,8,3239,https://en.wikipedia.org/wiki/Natural_Daughter_with_Portraits_of_the_Leadenhead_Family
The Old English Baron,Clara Reeve,1778,28,1778,Horror; ;; Mystery; ;; Ghost story,United Kingdom,28,1693,https://en.wikipedia.org/wiki/The_Old_English_Baron
The Old Manor House,Charlotte Smith,1793,28,1793,,,10,1057,https://en.wikipedia.org/wiki/The_Old_Manor_House
"Pamela; or, Virtue Rewarded",Samuel Richardson,1740,28,1740,Epistolary novel; Psychological,England,177,8860,"https://en.wikipedia.org/wiki/Pamela;_or,_Virtue_Rewarded"
Robinson Crusoe,Daniel Defoe,1719,116,25 April 1719| (304 years ago)| (|1719-04-25|),"Adventure, historical fiction",Great Britain,1073,14714,https://en.wikipedia.org/wiki/Robinson_Crusoe
The Romance of the Forest,Ann Radcliffe,1791,28,1791,Gothic fiction; Romance; Sentimental fiction; Terror,United Kingdom,35,4278,https://en.wikipedia.org/wiki/The_Romance_of_the_Forest
Roxana: The Fortunate Mistress,Daniel Defoe,1724,28,1724,Novel,England,55,3360,https://en.wikipedia.org/wiki/Roxana:_The_Fortunate_Mistress
A Sentimental Journey through France and Italy,Laurence Sterne,1768,28,1768,"sentimental novel; ,; travel literature",Great Britain,97,1876,https://en.wikipedia.org/wiki/A_Sentimental_Journey_Through_France_and_Italy
Serious Reflections of Robinson Crusoe,Daniel Defoe,1720,28,1720,Novel,England,61,1684,https://en.wikipedia.org/wiki/Serious_Reflections_of_Robinson_Crusoe
A Tale of a Tub,Jonathan Swift,1704,28,1704,Prose; and; tragedy,Kingdom of England,248,8011,https://en.wikipedia.org/wiki/A_Tale_of_a_Tub
The Vicar of Wakefield,Oliver Goldsmith,1766,28,1766 (R. Collins),"Comedy, satire, novel",Great Britain,130,3145,https://en.wikipedia.org/wiki/The_Vicar_of_Wakefield
"The Mysteries of Udolpho, A Romance; Interspersed with Some Pieces of Poetry",Ann Radcliffe,1794,128,8 May 1794,Gothic novel,England,105,3539,https://en.wikipedia.org/wiki/The_Mysteries_of_Udolpho
Caleb Williams,William Godwin,1794,28,1794,Political philosophy,United Kingdom,48,3958,"https://en.wikipedia.org/wiki/Things_as_They_Are;_or,_The_Adventures_of_Caleb_Williams"
Castle Rackrent,Maria Edgeworth,1800,28,1800,Historical novel,Ireland,51,2306,https://en.wikipedia.org/wiki/Castle_Rackrent
"A Voyage to the South Sea, and Round the World",Edward Cooke,312,28,1712| (312 years ago)| (|1712|),travelogue,United Kingdom,10,1047,"https://en.wikipedia.org/wiki/A_Voyage_to_the_South_Sea,_and_Round_the_World"
Foe,J. M. Coetzee,1986,28,1986,,South Africa,73,3591,https://en.wikipedia.org/wiki/Foe_(Coetzee_novel)
The Heroine,Eaton Stannard Barrett,1813,28,1813,,,5,1075,https://en.wikipedia.org/wiki/The_Heroine_(novel)
Adam Bede,George Eliot,2001,32,1 February 1859|[1],Historical novel,United Kingdom,131,3405,https://en.wikipedia.org/wiki/Adam_Bede
Alice Lorraine,R. D. Blackmore,1875,28,1875,Sensation novel,England,19,1182,https://en.wikipedia.org/wiki/Alice_Lorraine
Alice's Adventures in Wonderland,Lewis Carroll,1865,332,November 1865,Portal fantasy; Literary nonsense,United Kingdom,2942,17063,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland
Barnaby Rudge,"Charles Dickens; (""Boz"")",1841,1,Serialised|: February–November 1841;|[1]| as a book 1841,Novel,England,222,4753,https://en.wikipedia.org/wiki/Barnaby_Rudge
Bleak House,Charles Dickens,1852,1,Serialised 1852–1853; book form 1853,Novel,England,485,9871,https://en.wikipedia.org/wiki/Bleak_House
The Blood of the Vampire,Florence Marryat,1897,28,1897,Gothic; and; vampire fiction,England,33,3018,https://en.wikipedia.org/wiki/The_Blood_of_the_Vampire
The Book of Snobs,William Makepeace Thackeray,1848,28,1846–1848,,United Kingdom,23,2050,https://en.wikipedia.org/wiki/The_Book_of_Snobs
Born in Exile,George Gissing,1892,28,1892,,England,24,1650,https://en.wikipedia.org/wiki/Born_in_Exile
Captains Courageous,Rudyard Kipling,1897,28,1897,"Adventure; ,; Nautical; ,; Juvenile",United States; [1],221,3747,https://en.wikipedia.org/wiki/Captains_Courageous
"The Cat of Bubastes, A Tale of Ancient Egypt",G.A. Henty,1888,1,3 September 1888 but dated 1889,Young adult novel,Egypt,16,1166,https://en.wikipedia.org/wiki/The_Cat_of_Bubastes
Catriona,Robert Louis Stevenson,1893,28,1893,"Adventure; ,; historical",Scotland,104,2405,https://en.wikipedia.org/wiki/Catriona_(novel)
The Chimes,Charles Dickens,1844,28,1844,Novella,England,225,8768,https://en.wikipedia.org/wiki/The_Chimes
A Christmas Carol,Charles Dickens,1843,1,19 December 1843|; 180 years ago| (|19 December 1843|),,England,2681,18523,https://en.wikipedia.org/wiki/A_Christmas_Carol
Cranford,Elizabeth Gaskell,1851,1,"1851–53 (serial), 1853 (book)",Novel,United Kingdom,93,3805,https://en.wikipedia.org/wiki/Cranford_(novel)
The Cricket on the Hearth,Charles Dickens,1845,354,20 December 1845,Novella,England,544,9724,https://en.wikipedia.org/wiki/The_Cricket_on_the_Hearth
Daniel Deronda,George Eliot,1876,28,1876,Novel,United Kingdom,123,5464,https://en.wikipedia.org/wiki/Daniel_Deronda
David Copperfield,Charles Dickens,1849,1,Serialised May 1849 – November 1850; book format 1850,,United Kingdom,679,33461,https://en.wikipedia.org/wiki/David_Copperfield
Demos,George Gissing,1886,28,1886,,England,22,1507,https://en.wikipedia.org/wiki/Demos_(novel)
Denzil Quarrier,George Gissing,1892,28,1892,Novel,England,20,826,https://en.wikipedia.org/wiki/Denzil_Quarrier
Diary of a Pilgrimage,Jerome K. Jerome,1891,28,1891,Comedy novel,United Kingdom,34,1127,https://en.wikipedia.org/wiki/Diary_of_a_Pilgrimage
Dombey and Son,Charles Dickens,1846,1,Serial October 1846 – April 1848;|Book 1848,Novel,England,214,8969,https://en.wikipedia.org/wiki/Dombey_and_Son
Dracula,Bram Stoker,1897,1,"May 26, 1897| (|1897-05-26|)","Horror; ,; Gothic",United Kingdom,2311,18246,https://en.wikipedia.org/wiki/Dracula
The Egoist,George Meredith,1879,28,1879,Tragicomical; novel,England,25,1523,https://en.wikipedia.org/wiki/The_Egoist_(novel)
Erewhon,Samuel Butler,1872,28,1872,"Satire; ,; Science fiction; [1]",United Kingdom,200,4309,https://en.wikipedia.org/wiki/Erewhon
"Eric, or Little by Little",Frederic W. Farrar,1858,28,1858,Novel,England,29,1246,"https://en.wikipedia.org/wiki/Eric,_or,_Little_by_Little"
Eve's Ransom,George Gissing,1895,28,1895,,UK,28,1870,https://en.wikipedia.org/wiki/Eve%27s_Ransom
An Eye for an Eye,Anthony Trollope,1878,1,February 1878| (|1878-02|)| (serialised)|January 1879| (|1879-01|)| (two volume novel),,,46,1831,https://en.wikipedia.org/wiki/An_Eye_for_an_Eye_(novel)
Far from the Madding Crowd,Thomas Hardy,1874,28,1874,Novel,England,226,6224,https://en.wikipedia.org/wiki/Far_from_the_Madding_Crowd
For the Term of His Natural Life,Marcus Clarke,1872,28,1870–1872,,Australia,387,7535,https://en.wikipedia.org/wiki/For_the_Term_of_His_Natural_Life
From Nowhere to the North Pole,Tom Hood,1875,28,1875,Novel,England,5,992,https://en.wikipedia.org/wiki/From_Nowhere_to_the_North_Pole
God's Fool,Maarten Maartens,1892,28,1892,Psychological novel,Netherlands,11,1530,https://en.wikipedia.org/wiki/God%27s_Fool
